# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugTargetExporter
# Time: 2014.07.15 at 02:17:00 EDT
PiHelper_DrugTarget_ID	HGNC_Symbol	Drug_Name	DataSources	References
32	GNRHR	Leuprolide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10687850;PubMed:15758569;PubMed:16809153;PubMed:9625809;PubMed:10394541;PubMed:21804595
33	IFNAR2	Peginterferon alfa-2a	DrugBank;KEGG Drugs	PubMed:16953837;PubMed:15898717;PubMed:11752352;PubMed:19955815
34	IFNAR1	Peginterferon alfa-2a	DrugBank;KEGG Drugs	PubMed:16953837;PubMed:15898717;PubMed:11752352;PubMed:19955815
35	PLG	Alteplase	DrugBank	PubMed:19436656;PubMed:17963464;PubMed:11752352;PubMed:18673235
36	FGA	Alteplase	DrugBank;PubMed:21804595	PubMed:19436656;PubMed:17963464;PubMed:18673235;PubMed:21804595
37	PLAUR	Alteplase	DrugBank	PubMed:17016423;PubMed:17139284
38	SERPINE1	Alteplase	DrugBank	PubMed:17963464
39	GHRHR	Sermorelin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14499707;PubMed:11752352;PubMed:21804595
40	IFNAR2	Interferon alfa-n1	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:10822464;PubMed:11752352;PubMed:19955815;PubMed:17139284;PubMed:21804595
41	IFNAR1	Interferon alfa-n1	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:10822464;PubMed:11752352;PubMed:19955815;PubMed:21804595;PubMed:17139284
42	EPOR	Darbepoetin alfa	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16505108;PubMed:11752352;PubMed:21804595;PubMed:17575216
43	PLG	Urokinase	DrugBank;PubMed:21804595	PubMed:12745435;PubMed:12666133;PubMed:12720300;PubMed:11752352;PubMed:12719778;PubMed:12658774;PubMed:21804595
44	PLAUR	Urokinase	DrugBank	PubMed:14679304;PubMed:14688365;PubMed:12615913;PubMed:12817472;PubMed:14720519;PubMed:17327908
45	PLAU	Urokinase	DrugBank	PubMed:12556741;PubMed:12745435;PubMed:12579271;PubMed:12824001;PubMed:12707394
46	PLAT	Urokinase	DrugBank	PubMed:12745435;PubMed:14507109;PubMed:12787697;PubMed:12826021;PubMed:12893898
47	SERPINE1	Urokinase	DrugBank	PubMed:12745435;PubMed:12642587;PubMed:12785198;PubMed:12709915;PubMed:12579271
48	SERPINB2	Urokinase	DrugBank	PubMed:15351849;PubMed:15944795;PubMed:15640330;PubMed:15277569;PubMed:16327990
49	SERPINA5	Urokinase	DrugBank	PubMed:17253188;PubMed:17434507;PubMed:14645112
50	LRP2	Urokinase	DrugBank	PubMed:17016423;PubMed:1280065;PubMed:8241286;PubMed:7959795;PubMed:17139284
51	ST14	Urokinase	DrugBank	PubMed:12815039;PubMed:14747469
52	NID1	Urokinase	DrugBank	PubMed:17016423;PubMed:1499567;PubMed:17139284
53	LHCGR	Goserelin	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:20053189;PubMed:21804595;PubMed:17139284
54	GNRHR	Goserelin	DrugBank;KEGG Drugs	PubMed:20053189
55	PLG	Reteplase	DrugBank;PubMed:21804595	PubMed:19436656;PubMed:11752352;PubMed:17963464;PubMed:18673235;PubMed:21804595
56	FGA	Reteplase	DrugBank;PubMed:21804595	PubMed:19436656;PubMed:17963464;PubMed:18673235;PubMed:21804595
57	PLAUR	Reteplase	DrugBank	PubMed:17016423;PubMed:17139284
58	SERPINE1	Reteplase	DrugBank	PubMed:17963464
59	EPOR	Epoetin alfa	DrugBank;PubMed:21804595	PubMed:16505108;PubMed:11752352;PubMed:21804595;PubMed:17575216
60	CALCR	Salmon Calcitonin	DrugBank;PubMed:21804595	PubMed:7610922;PubMed:3004987;PubMed:11752352;PubMed:9231703;PubMed:21804595
61	IFNAR1	Interferon alfa-n3	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:15898717;PubMed:11752352;PubMed:19955815;PubMed:21804595;PubMed:17139284
62	IFNAR2	Interferon alfa-n3	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:16953837;PubMed:15898717;PubMed:11752352;PubMed:19955815;PubMed:21804595;PubMed:17139284
63	CSF3R	Pegfilgrastim	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16033816;PubMed:17127322;PubMed:15949269;PubMed:15082029;PubMed:17001306;PubMed:12944913;PubMed:21804595
64	ELANE	Pegfilgrastim	DrugBank	PubMed:15353486;PubMed:12958067;PubMed:14657210;PubMed:17475913;PubMed:16245075
65	CSF2RA	Sargramostim	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17522711;PubMed:16760463;PubMed:16638185;PubMed:11752352;PubMed:17090651;PubMed:21804595
66	IL3RA	Sargramostim	DrugBank	PubMed:17522711;PubMed:17500228;PubMed:17562355;PubMed:16698686
67	CSF2RB	Sargramostim	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:1424804;PubMed:17139284;PubMed:21804595
68	SDC2	Sargramostim	DrugBank	PubMed:17016423;PubMed:10734053;PubMed:17139284
69	PRG2	Sargramostim	DrugBank	PubMed:17600316;PubMed:17383764;PubMed:16522458
70	SCTR	Secretin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:21804595
71	IFNAR1	Peginterferon alfa-2b	DrugBank;KEGG Drugs	PubMed:17016423;PubMed:16953837;PubMed:15898717;PubMed:11752352;PubMed:19955815;PubMed:17139284
72	IFNAR2	Peginterferon alfa-2b	DrugBank;KEGG Drugs	PubMed:17016423;PubMed:16953837;PubMed:15898717;PubMed:11752352;PubMed:19955815;PubMed:17139284
73	TSHR	Thyrotropin Alfa	DrugBank;PubMed:21804595	PubMed:11752352;PubMed:15571461;PubMed:9039330;PubMed:21804595
74	F10	Antihemophilic Factor	DrugBank;PubMed:21804595	PubMed:14285227;PubMed:6436416;PubMed:236567;PubMed:11891806;PubMed:21804595;PubMed:13801371
75	F9	Antihemophilic Factor	DrugBank	PubMed:2994716;PubMed:1119107;PubMed:6422634;PubMed:932529;PubMed:14240634
76	VWF	Antihemophilic Factor	DrugBank	PubMed:2942172;PubMed:2128855;PubMed:11858481;PubMed:14750934;PubMed:10938981
77	PHYH	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:11574539;PubMed:17139284
78	ASGR2	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:15946216;PubMed:17139284
79	HSPA5	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:9607108;PubMed:17139284
80	CALR	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:9607108;PubMed:9525969;PubMed:17899080;PubMed:17139284
81	CANX	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:9525969;PubMed:9607108;PubMed:15213841;PubMed:17899080;PubMed:17139284
82	LMAN1	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:14726380;PubMed:14629470;PubMed:17139284
83	LRP1	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:21391865;PubMed:17139284
84	MCFD2	Antihemophilic Factor	DrugBank	PubMed:17016423;PubMed:15886209;PubMed:17139284
85	IL1R1	Anakinra	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12817089;PubMed:17498496;PubMed:10210771;PubMed:17083033;PubMed:17352828;PubMed:11752352;PubMed:21804595;PubMed:12355453
86	FCGR1A	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17911465;PubMed:17351760
87	FCGR1B	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
88	FCGR2A	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
89	FCGR2B	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
90	FCGR2C	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17911465;PubMed:17351760
91	FCGR3A	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
92	FCGR3B	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
93	C3	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
94	C4A	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
95	C4B_2	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
96	C5	Intravenous Immunoglobulin	DrugBank	PubMed:20441428;PubMed:17351760;PubMed:17911465
97	PLG	Anistreplase	DrugBank	PubMed:19436656;PubMed:11752352;PubMed:17963464;PubMed:18673235
98	FGA	Anistreplase	DrugBank	PubMed:17016423;PubMed:17139284
99	PLAUR	Anistreplase	DrugBank	PubMed:17016423;PubMed:17139284
100	SERPINE1	Anistreplase	DrugBank	PubMed:17963464
101	INSR	Insulin Regular 	DrugBank	PubMed:17722952;PubMed:12038982;PubMed:12970169;PubMed:19683471;PubMed:20230616;PubMed:11752352
102	IGF1R	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
103	RB1	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
104	CTSD	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
105	IDE	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
106	PCSK2	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
107	CPE	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
108	PCSK1	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
109	NOV	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
110	LRP2	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
111	IGFBP7	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
112	SYTL4	Insulin Regular 	DrugBank	PubMed:17016423;PubMed:17139284
113	PLG	Tenecteplase	DrugBank;PubMed:21804595	PubMed:19436656;PubMed:17963464;PubMed:11752352;PubMed:18673235;PubMed:21804595
114	FGA	Tenecteplase	DrugBank	PubMed:19436656;PubMed:17963464;PubMed:18673235
115	PLAUR	Tenecteplase	DrugBank	PubMed:11447759;PubMed:12210068;PubMed:15231724
116	SERPINE1	Tenecteplase	DrugBank	PubMed:14564902;PubMed:11163592;PubMed:17963464
117	SERPINB2	Tenecteplase	DrugBank	PubMed:17141398;PubMed:3091604;PubMed:7958159
118	CLEC3B	Tenecteplase	DrugBank	PubMed:12694198;PubMed:17853709;PubMed:9034981
119	KRT8	Tenecteplase	DrugBank	PubMed:9988531;PubMed:8760360;PubMed:8810346
120	ANXA2	Tenecteplase	DrugBank	PubMed:12730231;PubMed:15194650;PubMed:10578524
121	CALR	Tenecteplase	DrugBank	PubMed:9359841
122	CANX	Tenecteplase	DrugBank	PubMed:9359841
123	LRP1	Tenecteplase	DrugBank	PubMed:16303771;PubMed:1378833;PubMed:8344937
124	FSHR	Menotropins	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:14680547;PubMed:11752352;PubMed:17139284;PubMed:21804595;PubMed:7872378
125	LHCGR	Menotropins	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:14680547;PubMed:21804595;PubMed:17139284;PubMed:7872378
126	IFNGR1	Interferon gamma-1b	DrugBank;PubMed:21804595	PubMed:17251453;PubMed:17618444;PubMed:11752352;PubMed:21804595
127	IFNGR2	Interferon gamma-1b	DrugBank;PubMed:21804595	PubMed:17239631;PubMed:17618444;PubMed:11752352;PubMed:21804595
128	IFNAR1	Interferon Alfa-2a, Recombinant	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18230610;PubMed:15898717;PubMed:21804595
129	IFNAR2	Interferon Alfa-2a, Recombinant	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18230610;PubMed:15898717;PubMed:21804595
130	AVPR2	Desmopressin	DrugBank;KEGG Drugs	PubMed:11752352;PubMed:18761325;PubMed:16333859
131	AVPR1A	Desmopressin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:8957254;PubMed:15613460;PubMed:10594321;PubMed:21804595;PubMed:10731046
132	AVPR1B	Desmopressin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15613460;PubMed:18655906;PubMed:14971638;PubMed:21804595
133	F10	Coagulation factor VIIa	DrugBank;PubMed:21804595	PubMed:14227143;PubMed:5969560;PubMed:13621053;PubMed:13713641;PubMed:21804595;PubMed:13801371
134	HPN	Coagulation factor VIIa	DrugBank	PubMed:17016423;PubMed:17139284
135	TFPI	Coagulation factor VIIa	DrugBank	PubMed:7559599;PubMed:12974870;PubMed:11772005;PubMed:11238112;PubMed:8700900
136	GGCX	Coagulation factor VIIa	DrugBank	PubMed:17016423;PubMed:10901669;PubMed:17139284
137	F7	Coagulation factor VIIa	DrugBank;PubMed:21804595	PubMed:16370916;PubMed:10388743;PubMed:12525826;PubMed:11735107;PubMed:21804595;PubMed:15907148
138	F3	Coagulation factor VIIa	DrugBank	PubMed:1586032;PubMed:6658368;PubMed:13713641
139	IL11RA	Oprelvekin	DrugBank;PubMed:21804595	PubMed:11012177;PubMed:9310465;PubMed:8676079;PubMed:11752352;PubMed:21804595;PubMed:11570967;PubMed:8637716
140	FGFR2	Palifermin	DrugBank;PubMed:21804595	PubMed:10593896;PubMed:9056643;PubMed:16854582;PubMed:16390600;PubMed:17456767;PubMed:17728847;PubMed:11752352;PubMed:21804595;PubMed:7499435
141	NRP1	Palifermin	DrugBank	PubMed:9890894;PubMed:10821861;PubMed:9094999
142	FGFR1	Palifermin	DrugBank	PubMed:9890894;PubMed:10950949;PubMed:10212269;PubMed:11714710;PubMed:11091737
143	FGFR4	Palifermin	DrugBank;PubMed:21804595	PubMed:7526860;PubMed:9843417;PubMed:10950949;PubMed:9755102;PubMed:21804595;PubMed:11149756
144	FGFR3	Palifermin	DrugBank;PubMed:21804595	PubMed:7680555;PubMed:10821861;PubMed:7890137;PubMed:11422746;PubMed:21804595;PubMed:11149756
145	HSPG2	Palifermin	DrugBank	PubMed:10593896;PubMed:14753849;PubMed:9788974;PubMed:16989989
146	GCGR	Glucagon recombinant	DrugBank;PubMed:21804595	PubMed:17462598;PubMed:17534934;PubMed:17623014;PubMed:17620721;PubMed:17479245;PubMed:11752352;PubMed:8144028;PubMed:8020989;PubMed:21804595;PubMed:12529935
147	GLP2R	Glucagon recombinant	DrugBank	PubMed:17016423;PubMed:9990065;PubMed:11212269;PubMed:15817468;PubMed:17139284;PubMed:12529935
148	GLP1R	Glucagon recombinant	DrugBank	PubMed:17475961;PubMed:17534934;PubMed:17498508;PubMed:12529935
149	IL2RB	Aldesleukin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16569767;PubMed:16617454;PubMed:16542139;PubMed:16477002;PubMed:16596189;PubMed:11752352;PubMed:21804595
150	IL2RA	Aldesleukin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16767920;PubMed:10207608;PubMed:17216565;PubMed:16864089;PubMed:17584597;PubMed:17530023;PubMed:11752352;PubMed:21804595
151	IL2RG	Aldesleukin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16477002;PubMed:17635814;PubMed:17598841;PubMed:17083048;PubMed:17363735;PubMed:21804595
152	VAMP2	Botulinum Toxin Type B	DrugBank;PubMed:21804595	PubMed:14573702;PubMed:11752352;PubMed:21804595
153	VAMP1	Botulinum Toxin Type B	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:21804595
154	SYT2	Botulinum Toxin Type B	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:19576489;PubMed:21804595;PubMed:17139284
155	FCER1A	Omalizumab	DrugBank	PubMed:15356552;PubMed:17368811
156	MS4A2	Omalizumab	DrugBank	PubMed:17016423;PubMed:17073688;PubMed:17139284
157	LHCGR	Lutropin alfa	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:21804595;PubMed:20161981
158	TLR2	OspA lipoprotein	DrugBank	PubMed:14617145
159	INSR	Insulin Lispro	DrugBank;KEGG Drugs	PubMed:8964871;PubMed:20424816;PubMed:8937933;PubMed:11752352
160	IGF1R	Insulin Lispro	DrugBank	PubMed:20392809
161	INSR	Insulin Glargine	DrugBank;KEGG Drugs	PubMed:20424816;PubMed:17922476;PubMed:18585815;PubMed:11752352
162	IGF1R	Insulin Glargine	DrugBank	PubMed:20392809
163	COL1A1	Collagenase	DrugBank;PubMed:21804595	PubMed:12855673;PubMed:12101112;PubMed:12535212;PubMed:17440987;PubMed:15659034;PubMed:21804595
164	COL2A1	Collagenase	DrugBank;PubMed:21804595	PubMed:14613270;PubMed:17652426;PubMed:16507130;PubMed:12890681;PubMed:15299286;PubMed:21804595
165	COL3A1	Collagenase	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:2145268;PubMed:21804595;PubMed:17139284
166	COL1A2	Collagenase	DrugBank;PubMed:21804595	PubMed:12101112;PubMed:21804595
167	GNRHR	Cetrorelix	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14561652;PubMed:16809153;PubMed:11752352;PubMed:14605254;PubMed:11854630;PubMed:12606421;PubMed:21804595
168	LHCGR	Cetrorelix	DrugBank	PubMed:17016423;PubMed:11943741;PubMed:17139284
169	TNF	Adalimumab	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12044041;PubMed:15046527;PubMed:15200343;PubMed:11752352;PubMed:14532145;PubMed:15022409;PubMed:21804595
170	FCGR3B	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
171	C1R	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
172	C1QA	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
173	C1QB	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
174	C1QC	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
175	FCGR3A	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
176	C1S	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
177	FCGR1A	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
178	FCGR2A	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
179	FCGR2B	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
180	FCGR2C	Adalimumab	DrugBank	PubMed:17016423;PubMed:17139284
181	GHR	Somatropin recombinant	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16917171;PubMed:16965663;PubMed:17082603;PubMed:11752352;PubMed:17133434;PubMed:21804595;PubMed:17128263
182	PRLR	Somatropin recombinant	DrugBank	PubMed:17317019;PubMed:2270485;PubMed:17279774;PubMed:17395896
183	ITGB3	Abciximab	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12749745;PubMed:11752352;PubMed:18510478;PubMed:11588534;PubMed:17441904;PubMed:21804595;PubMed:12165285
184	ITGA2B	Abciximab	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:19499855;PubMed:12749745;PubMed:18510478;PubMed:21804595
185	FCGR3B	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
186	C1R	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
187	C1QA	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
188	C1QB	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
189	C1QC	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
190	FCGR3A	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
191	C1S	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
192	FCGR1A	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
193	FCGR2A	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
194	FCGR2B	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
195	FCGR2C	Abciximab	DrugBank	PubMed:17016423;PubMed:17139284
196	VTN	Abciximab	DrugBank	PubMed:17160551;PubMed:12749745
197	F8	Drotrecogin alfa	DrugBank;PubMed:21804595	PubMed:9184404;PubMed:18954704;PubMed:11752352;PubMed:21804595
198	F5	Drotrecogin alfa	DrugBank;PubMed:21804595	PubMed:12030642;PubMed:12004250;PubMed:11236773;PubMed:11714212;PubMed:11893230;PubMed:11752352;PubMed:21804595
199	SERPINE1	Drotrecogin alfa	DrugBank	PubMed:11259926;PubMed:17566522;PubMed:12004248;PubMed:14515185
200	THBD	Drotrecogin alfa	DrugBank	PubMed:1660324;PubMed:2836377;PubMed:15252033;PubMed:11804648;PubMed:3039877
201	PROS1	Drotrecogin alfa	DrugBank	PubMed:3160800;PubMed:1828915;PubMed:12062545
202	CP	Drotrecogin alfa	DrugBank	PubMed:17016423;PubMed:17139284
203	F2	Drotrecogin alfa	DrugBank	PubMed:12296618;PubMed:12208873;PubMed:12070133;PubMed:10463819;PubMed:12062545
204	PF4	Drotrecogin alfa	DrugBank	PubMed:11259926
205	SERPINA5	Drotrecogin alfa	DrugBank	PubMed:9620917;PubMed:7769227;PubMed:12671072;PubMed:8391599;PubMed:10456457
206	SERPINB6	Drotrecogin alfa	DrugBank	PubMed:17016423;PubMed:17139284
207	GGCX	Drotrecogin alfa	DrugBank	PubMed:17016423;PubMed:17139284
208	PROCR	Drotrecogin alfa	DrugBank	PubMed:12353077;PubMed:12871285;PubMed:15118520;PubMed:17566522;PubMed:9529319
209	CD33	Gemtuzumab ozogamicin	DrugBank;PubMed:21804595	PubMed:11249747;PubMed:20564405;PubMed:11752352;PubMed:10942240;PubMed:11410481;PubMed:21804595;PubMed:11432892;PubMed:11342449
210	FCGR3B	Gemtuzumab ozogamicin	DrugBank	PubMed:7509291;PubMed:9815888;PubMed:9649182
211	C1R	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
212	C1QA	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
213	C1QB	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
214	C1QC	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
215	FCGR3A	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:7509291;PubMed:17139284
216	C1S	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
217	FCGR1A	Gemtuzumab ozogamicin	DrugBank	PubMed:7509291
218	FCGR2A	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
219	FCGR2B	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
220	FCGR2C	Gemtuzumab ozogamicin	DrugBank	PubMed:17016423;PubMed:17139284
221	ELANE	Alpha-1-proteinase inhibitor	DrugBank;PubMed:21804595	PubMed:20521180;PubMed:16773239;PubMed:11752352;PubMed:21804595
222	IFNAR1	Interferon beta-1a	DrugBank;KEGG Drugs	PubMed:16912135;PubMed:11747625;PubMed:10049744;PubMed:12034032
223	IFNAR2	Interferon beta-1a	DrugBank;KEGG Drugs	PubMed:16912135;PubMed:11747625
224	GRB2	Pegademase bovine	DrugBank	PubMed:9299436
225	APOE	Human Serum Albumin	DrugBank	PubMed:12860569;PubMed:17553935;PubMed:12887764;PubMed:17141733;PubMed:16554356
226	SAA1	Human Serum Albumin	DrugBank	PubMed:17016423;PubMed:17139284
227	AMBP	Human Serum Albumin	DrugBank	PubMed:15452109
228	ITGB3	Eptifibatide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15860200;PubMed:14618072;PubMed:14617694;PubMed:12928738;PubMed:11588534;PubMed:10592235;PubMed:12360110;PubMed:21804595
229	APOE	Serum albumin iodonated	DrugBank	PubMed:17016423;PubMed:16441928;PubMed:17139284;PubMed:17378158
230	SAA1	Serum albumin iodonated	DrugBank	PubMed:17016423;PubMed:9200475;PubMed:10361047;PubMed:10903648;PubMed:17139284
231	AMBP	Serum albumin iodonated	DrugBank	PubMed:17016423;PubMed:17139284
232	TNF	Infliximab	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12110154;PubMed:15691299;PubMed:15804598;PubMed:15481318;PubMed:17642244;PubMed:16622728;PubMed:16456024;PubMed:11752352;PubMed:15674127;PubMed:15691217;PubMed:16052578;PubMed:21804595
