# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugExporter
# Time: 2014.07.15 at 01:58:08 EDT
PiHelper_Drug_ID	Drug_Name	Drug_Synonyms	Description	Number_of_Targets	ATC_Codes	isFdaApproved	isCancerDrug	isNutraceutical	Number_Of_Clinical_Trials	DataSources	References
56192	Interferon alfa-n1	Wellferon (GlaxoSmithKline);LeIF A;Interferon alpha-A;Interferon alpha-2	"Purified, natural (n is for natural) glycosylated human interferon alpha proteins 166 residues"	2	L03AB06	true	false	false	-1	DrugBank;KEGG Drugs	PubChem Substance:47206397;PharmGKB:PA164746538;GenBank:J00207;CAS:308067-63-2;UniProtKB:P01563;KEGG:D04552;Drugs Product Database (DPD):1959077;DrugBank:DB00011;PubMed:21804595
56193	Darbepoetin alfa	Epoetin;Erythropoietin precursor;Aranesp	"Human erythropoietin with 2 aa substitutions to enhance glycosylation (5 N-linked chains), 165 residues (MW=37 kD). Produced in Chinese hamster ovary (CHO) cells by recombinant DNA technology."	1	B03XA02	true	true	false	59	DrugBank;KEGG Drugs	UniProtKB:P01588;CAS:209810-58-2;PubChem Substance:17397749;GenBank:X02158;KEGG:D03651;DrugBank:DB00012;Drugs Product Database (DPD):2246360;PharmGKB:PA164743138;PubMed:21804595
56194	Urokinase	Kinlytic;Abbokinase;Urokinase-type plasminogen activator precursor;uPA;U-plasminogen activator	"Low molecular weight form of human urokinase, that consists of an A chain of 2,000 daltons linked by a sulfhydryl bond to a B chain of 30,400 daltons. Recombinant urokinase plasminogen activator"	10	B01AD04	true	false	false	-1	DrugBank	UniProtKB:P00749;GenBank:X02419;PharmGKB:PA451836;DrugBank:DB00013;National Drug Code Directory:24430-1003-1;PubMed:21804595;Drugs Product Database (DPD):749702
56195	Goserelin	Goserelin Acetate;Zoladex	"Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal."	2	L02AE03	true	true	false	112	DrugBank;KEGG Drugs	PubChem Substance:7847639;Drugs Product Database (DPD):2225905;DrugBank:DB00014;NIKKAJI:J589.987G;CAS:65807-02-5;LigandBox:D00573;KEGG:D04405;LigandBox:D04405;PubMed:21804595;PubChem Substance:47206287;PharmGKB:PA164747674;KEGG Drug:D00573;NCI_Drug:40224;National Drug Code Directory:0310-0951-30;KEGG:D00573;CAS:145781-92-6;NIKKAJI:J34.701I
56196	Reteplase	t- PA;tPA;Retavase (Roche);Retavase (Centocor);t-plasminogen activator;Tissue-type plasminogen activator precursor	"Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a "third-generation" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serine protease domains of human tPA. Three domains are deleted from retavase - kringle-1, finger, and epidermal growth factor (EGF)."	4	B01AD07	true	false	false	-1	DrugBank	Drugs Product Database (DPD):2233013;UniProtKB:P00750;GenBank:L00153;PharmGKB:PA164743728;DrugBank:DB00015;National Drug Code Directory:24477-041-02;PubMed:21804595
56197	Epoetin alfa	Eprex;Epomax (Elanex);Epogin (Chugai);Recormon (Roche);Epoetin;Erythropoietin precursor;NeoRecormon (Roche);Procrit;Epogen (Amgen Inc.);Epogen;Procrit (Ortho Biotech)	"Human erythropoietin (recombinant), produced by CHO cells."	1	B03XA02;B03XA01	true	true	false	66	DrugBank	National Drug Code Directory:55513-126-10;Drugs Product Database (DPD):2243403;UniProtKB:P01588;DrugBank:DB00016;PharmGKB:PA10072;GenBank:X02158;PubMed:21804595
56198	Salmon Calcitonin	Miacalcin (Novartis);Salmotonin;Calcitonin, salmon;Calcitonin-salmon;Calcitonin 1 precursor;Calcimar	"Synthetic peptide, 32 residues long formulated as a nasal spray."	1	H05BA01	true	false	false	-1	DrugBank	PharmGKB:PA448715;National Drug Code Directory:60505-0823-6;DrugBank:DB00017;KEGG Compound:C06865;UniProtKB:P01263;GenBank:Y00765;PubMed:21804595;KEGG Drug:D00249
56199	Interferon alfa-n3	Alferon (Interferon Sciences Inc.);Alferon N Injection;Alferon LDO	"Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD)."	2		true	false	false	-1	DrugBank	DrugBank:DB00018;PharmGKB:PA164746228;PubMed:21804595
56200	Pegfilgrastim	Granulocyte colony-stimulating factor precursor;Lenograstim;Pluripoietin;Neulasta (Amgen Inc.);G-CSF	"PEGylated (at N terminus) form of human G-CSF (Granulocyte colony stimulating factor), 175 residues, produced from E. coli via bacterial fermentation."	2	L03AA10	true	true	false	158	DrugBank;KEGG Drugs	DrugBank:DB00019;CAS:135968-09-1;PubChem Substance:17397400;PubChem Substance:49661789;National Drug Code Directory:55513-190-01;PharmGKB:PA164781387;Drugs Product Database (DPD):2249790;KEGG:D06889;GenBank:X03438;UniProtKB:P09919;CAS:208265-92-3;PubMed:21804595;KEGG:D03247
56201	Sargramostim	CSF;GM-CSF;Leukine (Berlex Laboratories Inc);Colony-stimulating factor;Immunex;Leukine;Leucomax (Novartis);Molgramostin;Granulocyte-macrophage colony-stimulating factor precursor	"Human, recombinant GM-CSF, expressed in yeast. Glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein."	5	L03AA09	true	true	false	307	DrugBank;KEGG Drugs	CAS:123774-72-1;PubChem Substance:47207464;GenBank:M13207;National Drug Code Directory:50419-002-33;UniProtKB:P04141;KEGG:D05803;DrugBank:DB00020;PharmGKB:PA164748631;PubMed:21804595
56202	Secretin	SecreFlo;Secremax, SecreFlo (Repligen Corp);Secremax, SecreFlo	"This drug is the synthetic form of natural secretin.  It is prepared using solid phase peptide synthesis.  Secretin is a peptide hormone produced in the S cells of the duodenum. Its main effect is to regulate the pH of the small  intestine’s contents through the control of gastric acid secretion and buffering with bicarbonate. It was the first hormone to be discovered."	1	V04CK01	true	false	false	-1	DrugBank;KEGG Drugs	CAS:1393-25-5;Drugs Product Database (DPD):874000;PharmGKB:PA164760844;NIKKAJI:J871K;PubChem Substance:7849083;DrugBank:DB00021;PubMed:21804595;KEGG:D02021
56203	Peginterferon alfa-2b	PEG-Intron (Schering Corp);Unitron PEG;Peginterferon Alfa-2b	"Peginterferon alfa-2b is a covalent conjugate of recombinant alfa-2b interferon with monomethoxy polyethylene glycol (PEG). The average molecular weight of the PEG portion of the molecule is 12,000 daltons. The average molecular weight of the PEG-Intron molecule is approximately 31,000 daltons. The specific activity of peginterferon alfa-2b is approximately 0.7 x 108 IU/mg protein. Interferon alfa-2b is a water-soluble protein with a molecular weight of 19,271 daltons produced by recombinant DNA techniques. It is obtained from the bacterial fermentation of a strain of <i>Escherichia coli</i> bearing a genetically engineered plasmid containing an interferon gene from human leukocytes. The PEG strand protects the molecule in vivo from proteolytic breakdown, substantially increases its in vivo half-life, and reduces immunogenicity by wrapping around and physically hindering access to the protein portion of the molecule."	2	L03AB10	true	true	false	46	DrugBank;KEGG Drugs	PubChem Substance:47205820;Drugs Product Database (DPD):2242966;NCI_Drug:43407;National Drug Code Directory:0085-1323-01;UniProtKB:P01563;KEGG:D02748;CAS:215647-85-1;DrugBank:DB00022;PharmGKB:PA164784024
56204	Asparaginase	Putative L-asparaginase precursor;L-asparagine amidohydrolase;Elspar (Merck & Co. Inc)	"L-asparagine amidohydrolase from E. coli"	0	L01XX02	true	true	false	90	DrugBank	Drugs Product Database (DPD):1926438;GenBank:U00096;PharmGKB:PA448492;NSC:109229;PubChem Substance:408433;UniProtKB:P37595;DrugBank:DB00023
56205	Thyrotropin Alfa	Follicle-stimulating hormone beta subunit;Thyrogen (Genzyme Inc);FSH-beta;Follitropin beta chain precursor;FSH-B	"Thyrotropin alfa is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a beta subunit of 118 residues containing one N-linked glycosylation site. The amino acid sequence of thyrotropin alfa is identical to that of human pituitary thyroid stimulating hormone."	1	V04CJ01	true	false	false	-1	DrugBank	GenBank:M16647;PharmGKB:PA164746560;National Drug Code Directory:58468-1849-4;Drugs Product Database (DPD):2246016;UniProtKB:P01225;DrugBank:DB00024;PubMed:21804595
56206	Antihemophilic Factor	Hemofil M;AHF;Helixate FS;Advate;Procoagulant component;Alphanate;Monoclate-P;Xyntha;Kogenate;Humate-P;ReFacto;Helixate;Monarc-M;Koate-HP;Coagulation factor VIII precursor;Kogenate FS;Hyate:C;Bioclate	"Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cells"	11	B02BD02	false	false	false	-1	DrugBank	National Drug Code Directory:0026-3782-20;Drugs Product Database (DPD):2242491;GenBank:M14113;PharmGKB:PA164750168;UniProtKB:P00451;PubMed:21804595;DrugBank:DB00025
56207	Anakinra	Kineret (Amgen Inc);IL1 inhibitor;Interleukin-1 receptor antagonist protein precursor;IL-1ra;ICIL-1RA;IL-1RN;IRAP	"Anakinra is a recombinant, nonglycosylated human interleukin-1 receptor antagonist (IL-1Ra). The difference  between anakinra and the native human IL-1Ra is that anakinra has an extra methionine residue at the amino terminus. It is manufactured by using the E. coli expression system. Anakinra is composed of 153 amino acid residues. FDA approved on November 14, 2001. "	2	L04AC03	true	true	false	15	DrugBank;KEGG Drugs	DrugBank:DB00026;KEGG:D02934;GenBank:M55646;PharmGKB:PA10799;KEGG Drug:D02934;PubChem Substance:17397091;CAS:143090-92-0;NIKKAJI:J2.104.924G;Drugs Product Database (DPD):2245913;National Drug Code Directory:66658-234-28;PubMed:21804595;UniProtKB:P18510
56208	Gramicidin D	Neosporin	"15 residue peptide isolated from Bacillus brevis. With alternating D and L amino acids"	0	R02AB30	true	false	false	-1	DrugBank	DrugBank:DB00027;PharmGKB:PA449808;Drugs Product Database (DPD):422908
56209	Intravenous Immunoglobulin	Flebogamma (Instituto Grifols SA);Gamunex (Talecris Biotherapeutics);Immunoglobulin G;Civacir;Ig alpha-2 chain C region;immune globulin	"Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders."	12	J06BA02;J06BA01	true	false	false	-1	DrugBank	National Drug Code Directory:67467-843-01;GenBank:J00221;DrugBank:DB00028;PharmGKB:PA164754884;Drugs Product Database (DPD):2230920;PubMed:21804595;UniProtKB:P01877
56210	Anistreplase	t- PA;tPA;Eminase (Wulfing Pharma GmbH);t-plasminogen activator;Tissue-type plasminogen activator precursor	"Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins."	5	B01AD03	false	false	false	-1	DrugBank	Drugs Product Database (DPD):2229390;DrugBank:DB00029;UniProtKB:P00750;GenBank:L00153;PharmGKB:PA164769075;PubMed:21804595
56211	Insulin Regular 	Insulin human;Novolin R;Humulin R	"Insulin regular is a 51 residue peptide hormone, composed of two amino acid chains covalently linked by disulfide bonds. The structure is identical to native human insulin. Recombinant insulin is synthesized by recombinant DNA techncology. Inserting the human insulin gene into the Escherichia coli bacteria or Saccharomyces cerevisiae produces insulin for human use. "	12	A10AB01;A10AB04;A10AB03;A10AB05;A10AC01;A10AE05;A10AE04;A10AD05;A10AC03	true	false	false	-1	DrugBank	PharmGKB:PA164744571;KEGG Compound:C00723;National Drug Code Directory:0002-8215-01;GenBank:AY137503;KEGG Drug:D03230;DrugBank:DB00030;UniProtKB:Q8HXV2;ChEBI:5931;Drugs Product Database (DPD):795879
56212	Tenecteplase	t- PA;tPA;TNKase (Genentech Inc);t-plasminogen activator;Tissue-type plasminogen activator precursor	"Tissue plasminogen activator (tPA). Tenecteplase is a 527 amino acid glycoprotein developed by introducing the following modifications to the complementary DNA (cDNA) for natural human tPA: a substitution of threonine 103 with asparagine, and a substitution of asparagine 117 with glutamine, both within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain."	11	B01AD11	true	false	false	-1	DrugBank	UniProtKB:P00750;PharmGKB:PA164776757;GenBank:L00153;Drugs Product Database (DPD):2244826;DrugBank:DB00031;KEGG Drug:D06070;National Drug Code Directory:50242-038-61;PubMed:21804595
56213	Menotropins	Luteinizing hormone beta subunit;LSH- beta;Lutropin beta chain precursor;LSH-B;LH-B;Repronex	"Mixture of luteinizing hormone and follicle stimulating hormone extracted from the urine of postmeonopausal women. Composed of LH with 2 subunits, alpha = 92 residues, beta = 121 residues and FSH with 2 subunits, alpha = 92 residues, beta=111 residues"	2	G03GA02	true	false	false	-1	DrugBank	Drugs Product Database (DPD):2247790;GenBank:X00264;DrugBank:DB00032;UniProtKB:P01229;PubMed:21804595;PharmGKB:PA164749406
56214	Interferon gamma-1b	IFN-gamma;Actimmune (InterMune Inc);Interferon gamma precursor;Actimmune;Immune interferon	"Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography.   The sequence displayed is a cDNA sequence which codes for human interferon gamma, as described by Gray et. al. and not specifically interferon gamma 1b."	2		true	false	false	-1	DrugBank	GenBank:X13274;PharmGKB:PA164746386;UniProtKB:P01579;DrugBank:DB00033;PubMed:21804595
56215	Interferon Alfa-2a, Recombinant	rIFN-alpha-2a;Roferon A (Hoffmann-La Roche Inc);Interferon alfa-2a;Oral interferon alfa;Veldona (Amarillo Biosciences)	"Interferon a (human leukocyte protein moiety reduced). A type I interferon consisting of 165 amino acid residues with lysine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.    "	2	L03AB11;L03AB04	true	false	false	-1	DrugBank;KEGG Drugs	PharmGKB:PA164779048;Drugs Product Database (DPD):2217066;PubChem Substance:7847810;GenBank:J00207;UniProtKB:P01563;National Drug Code Directory:0004-2015-09;CAS:76543-88-9;PubMed:21804595;KEGG:D00745;DrugBank:DB00034
56216	Desmopressin	Minirin;Desmopresina [INN-Spanish];1-Desamino-8-D-arginine vasopressin;Adiuretin;Stimate;Desmopressinum [INN-Latin];Concentraid;Desmopressine [INN-French];DDAVP	"Desmopressin is a chemical that is similar to Antidiuretic Hormone (ADH) which is found naturally in the body. It increases urine concentration and decreases urine production. Desmopressin is used to prevent and control excessive thirst, urination, and dehydration caused by injury, surgery, and certain medical conditions, allowing you to sleep through the night without awakening to urinate. It is also used to treat specific types of diabetes insipidus and conditions after head injury or pituitary surgery."	4	H01BA02	true	false	false	-1	DrugBank;KEGG Drugs	National Drug Code Directory:55566-5020-1;KEGG:D02235;PubChem Substance:7847357;KEGG Drug:D00291;DrugBank:DB00035;CAS:16679-58-6;PubMed:21804595;LigandBox:D00291;Drugs Product Database (DPD):2257718;PubChem Substance:7849294;KEGG:D00291;KEGG Compound:C06944;PharmGKB:PA449237;NIKKAJI:J10.349G;LigandBox:D02235;CAS:62357-86-2
56217	Coagulation factor VIIa	Proconvertin;Eptacog alfa;Coagulation factor VII precursor;SPCA;NovoSeven (Novo Nordisk);Serum prothrombin conversion accelerator	"Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade.1 NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form."	6		false	false	false	-1	DrugBank	KEGG Compound:C03378;GenBank:M13232;PharmGKB:PA164748389;KEGG Drug:D00172;DrugBank:DB00036;UniProtKB:P08709;National Drug Code Directory:0169-7010-01;PubMed:21804595
56218	Oprelvekin	AGIF;Adipogenesis inhibitory factor;Neumega (Genetics Institute Inc);Neumega;Interleukin-11 precursor;IL-11	"Oprelvekin, the active ingredient in Neumega® is recombinant Interleukin eleven, which is produced in Escherichia coli (E. coli) by recombinant DNA technology. The protein has a molecular mass of approximately 19,000 daltons, and is non-glycosylated. The polypeptide is 177 amino acids in length (the natural IL-11 has 178). This alteration has not resulted in measurable differences in bioactivity either in vitro or in vivo.    The primary hematopoietic activity of Neumega® is stimulation of megakaryocytopoiesis and thrombopoiesis. In mice and nonhuman primate studies Neumega® has shown potent thrombopoietic activity in compromised hematopoiesis, including moderately to severely myelosuppressed animals. In these studies, Neumega® improved platelet nadirs and accelerated platelet recoveries compared to controls.    In animal studies Oprelvekin also has non-hematopoetic activities. This includes the regulation of intestinal epithelium growth (enhanced healing of gastrointestinal lesions), ..."	1	L03AC02	true	true	false	6	DrugBank	National Drug Code Directory:58394-004-01;DrugBank:DB00038;PharmGKB:PA164747991;GenBank:M57765;UniProtKB:P20809;PubMed:21804595
56219	Palifermin	Keratinocyte growth factor precursor;Fibroblast growth factor- 7;Palifermin;Kepivance (Amgen Inc);HBGF-7;FGF-7;KGF	"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli."	6	V03AF08	true	true	false	50	DrugBank	DrugBank:DB00039;NCI_Drug:42905;Drugs Product Database (DPD):2274221;GenBank:M60828;UniProtKB:P21781;PubMed:21804595;PharmGKB:PA164744014;National Drug Code Directory:55513-520-06
56220	Glucagon recombinant	Glucagon (Eli Lilly);GlucaGen (Novo Nordisk)	"29 residue peptide hormone. Glucagon is synthesized in a special non- pathogenic laboratory strain of Escherichia coli bacteria that has been genetically altered by the addition of the gene for glucagons"	3	H04AA01	true	false	false	-1	DrugBank	KEGG Drug:D00116;KEGG Compound:C01501;DrugBank:DB00040;National Drug Code Directory:0002-8031-01;GenBank:AF529185;UniProtKB:Q8MJ25;PharmGKB:PA164779052;PubMed:21804595;Drugs Product Database (DPD):2243297
56221	Aldesleukin	TCGF;Aldesleukin;Proleukin (Chiron Corp);T-cell growth factor;IL-2;Proleukin;Interleukin-2 precursor	"Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. Genetic engineering techniques were used to modify the human IL-2 gene, and the resulting expression clone encodes a modified human interleukin-2. This recombinant form differs from native interleukin-2 in the following ways: a) Aldesleukin is not glycosylated because it is derived from E. coli; b) the molecule has no N-terminal alanine; the codon for this amino acid was deleted during the genetic engineering procedure; c) the molecule has serine substituted for cysteine at amino acid position 125."	3	L03AC01	true	true	false	326	DrugBank;KEGG Drugs	DrugBank:DB00041;PharmGKB:PA448081;PubChem Substance:7847813;CAS:110942-02-4;KEGG:D00748;UniProtKB:P60569;NCI_Drug:39756;GenBank:M11144;PubMed:21804595;Drugs Product Database (DPD):2130181;National Drug Code Directory:0078-0495-61
56222	Botulinum Toxin Type B	Neurobloc (Solstice Neurosciences);BTX-B;Botulinum neurotoxin type B precursor;Myobloc (Solstice Neurosciences)	"Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps."	3		true	false	false	-1	DrugBank	KEGG Drug:D02735;GenBank:M81186;PharmGKB:PA164747061;UniProtKB:P10844;Drugs Product Database (DPD):75108;DrugBank:DB00042;PubMed:21804595
56223	Omalizumab	Xolair (Genentech Inc);Ig gamma-1 chain C region	"A recombinant DNA-derived humanized IgG1k monoclonal antibody that selectively binds to human immunoglobulin E (IgE). Xolair is produced by a Chinese hamster ovary cell suspension culture in a nutrient medium containing the antibiotic gentamicin."	2	R03DX05	true	true	false	1	DrugBank	UniProtKB:P01857;Drugs Product Database (DPD):2260565;DrugBank:DB00043;GenBank:J00228;PharmGKB:PA164752253;National Drug Code Directory:50242-040-62
